Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
PDT,John Hancock Premium Dividend Fund,,680685864,89428,,
PEAK,Healthpeak Properties Inc. Common Stock,,16156201786,3633322,Consumer Services,Real Estate Investment Trusts
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest,2009,2531938358,1943521,Consumer Services,Real Estate Investment Trusts
PEG,Public Service Enterprise Group Incorporated Common Stock,,28858627944,1705417,Public Utilities,Power Generation
PEI,Pennsylvania Real Estate Investment Trust Common Stock,,210773493,5785477,Consumer Services,Real Estate Investment Trusts
PEO,Adams Natural Resources Fund Inc. Common Stock,,362998464,37970,,
PFD,Flaherty & Crumrine Preferred and Income Fund Incorporated,1991,216140312,31986,,
PFE,Pfizer Inc. Common Stock,,1.99324E+11,39414821,Health Care,Major Pharmaceuticals
PFGC,Performance Food Group Company Common Stock,2015,6430618854,705269,Consumer Non-Durables,Food Distributors
PFH,Prudential Financial Inc. 4.125% Junior Subordinated Notes due 2060,2020,0,84718,Finance,Life Insurance
PFL,PIMCO Income Strategy Fund Shares of Beneficial Interest,2003,371185914,67965,,
PFN,PIMCO Income Strategy Fund II,2004,726484060,210582,,
PFO,Flaherty & Crumrine Preferred and Income Opportunity Fund Incorporated,1992,162014831,17566,,
PFS,Provident Financial Services Inc Common Stock,2003,1470870423,358935,Finance,Savings Institutions
PFSI,PennyMac Financial Services Inc. Common Stock,2013,4322746190,1146340,Finance,Finance: Consumer Services
PG,Procter & Gamble Company (The) Common Stock,,3.21008E+11,8241985,Basic Industries,Package Goods/Cosmetics
PGP,Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest,2005,111339690,20289,,
PGR,Progressive Corporation (The) Common Stock,,51793197000,6292479,Finance,Property-Casualty Insurers
PGRE,Paramount Group Inc. Common Stock,2014,1979254088,1739932,Consumer Services,Real Estate Investment Trusts
PGTI,PGT Innovations Inc.,2006,1248831596,242048,Capital Goods,Building Products
PH,Parker-Hannifin Corporation Common Stock,,34201616792,1307089,Capital Goods,Metal Fabrications
PHD,Pioneer Floating Rate Trust Pioneer Floating Rate Trust Shares of Beneficial Interest,2004,262472026,176300,,
PHK,Pimco High Income Fund Pimco High Income Fund,2003,807259950,364025,,
PHM,PulteGroup Inc. Common Stock,,11948938081,5478191,Capital Goods,Homebuilding
PHR,Phreesia Inc. Common Stock,2019,2857778153,491106,Miscellaneous,Business Services
PHT,Pioneer High Income Trust Common Shares of Beneficial Interest,,266301434,80853,,
PHX,PHX Minerals Inc. Common Stock,,65824230,130622,Energy,Oil & Gas Production
PII,Polaris Inc. Common Stock,,7259014530,1363714,Capital Goods,Industrial Specialties
PIM,Putnam Master Intermediate Income Trust Common Stock,1988,214131698,92037,,
PINE,Alpine Income Property Trust Inc. Common Stock,2019,117848329,35942,Consumer Services,Real Estate Investment Trusts
PING,Ping Identity Holding Corp. Common Stock,2019,2453603908,670296,Technology,Computer Software: Prepackaged Software
PIPP,Pine Island Acquisition Corp. Class A Common Stock,2021,0,1258897,Finance,Business Services
PIPP.U,Pine Island Acquisition Corp. Units each consisting of one share of Class A common stock and one-third of one redeemable warrant,2020,,0,,
